"Agency","City","State","Legacy NTD ID","NTD ID","Organization Type","NTD Reporter Type","Primary UZA Population","Agency VOMS","Mode","Type of Service","Mode VOMS","Mode VOMS Questionable","Max Trains in Operation","Max Trains in Operation Questionable","Average Speed (mi/hr)","Average Speed (mi/hr) Questionable","Average Passenger Trip Length (mi)","Average Passenger Trip Length (mi) Questionable","Passengers per Hour","Passengers per Hour Questionable","Scheduled Vehicle Revenue Miles","Scheduled Vehicle Revenue Miles Questionable","Vehicle Miles","Vehicle Miles Questionable","Vehicle Revenue Miles","Vehicle Revenue Miles Questionable","Deadhead Miles","Deadhead Miles Questionable","Vehicle Hours","Vehicle Hours Questionable","Vehicle 
Revenue 
Hours","Vehicle Revenue Hours Questionable","Deadhead Hours","Deadhead Hours Questionable","Train Miles","Train Miles Questionable","Train 
Revenue
Miles","Train Revenue Miles Questionable","Train Hours","Train Hours Questionable","Train 
Revenue 
Hours","Train Revenue Hours Questionable","Unlinked Passenger Trips","Unlinked Passenger Trips Questionable","Passenger Miles","Passenger Miles Questionable","Directional Route Miles","Directional Route Miles Questionable","Any data questionable","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","1"
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10885,"RB","DO",146,NA,0,NA,6.5358,NA,1.8594,NA,59.3132,NA,3215968,NA,3592695,NA,3382426,NA,210269,NA,549791,NA,517519,NA,32272,NA,0,NA,0,NA,0,NA,0,NA,30695695,NA,57076245,NA,64.62,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hide questionable data tags"
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10885,"MB","DO",3262,NA,0,NA,7.0591,NA,2.1376,NA,56.616,NA,84921254,NA,99293874,NA,86233591,NA,13060283,NA,14073696,NA,12215926,NA,1857770,NA,0,NA,0,NA,0,NA,0,NA,691616614,NA,1478429570,NA,1769.37,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Show questionable data tags"
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10885,"HR","DO",5413,NA,590,NA,18.2506,NA,3.8572,NA,139.6021,NA,376257991,NA,364973285,NA,354616371,NA,10356914,NA,20426698,NA,19430373,NA,996325,NA,40066829,NA,38818655,NA,2240601,NA,2126981,NA,2712521697,NA,10462782577,NA,493.68,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10885,"DR","PT",1627,NA,0,NA,9.4645,NA,8.974,NA,1.2103,NA,0,NA,46990347,NA,37759280,NA,9231067,NA,4916348,NA,3989579,NA,926769,NA,0,NA,0,NA,0,NA,0,NA,4828423,NA,43330163,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10885,"CB","DO",437,NA,0,NA,16.0115,NA,13.3647,NA,18.6247,NA,9637434,NA,16717490,NA,9866807,NA,6850683,NA,1040092,NA,616233,NA,423859,NA,0,NA,0,NA,0,NA,0,NA,11477164,NA,153389117,NA,355.52,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3645,"YR","PT",16,NA,12,NA,25.1084,NA,14.9098,NA,55.9083,NA,1233277,NA,1261093,NA,1232724,NA,28369,NA,52770,NA,49096,NA,3674,NA,1006110,NA,1006110,NA,40234,NA,40234,NA,2744872,NA,40925492,NA,69.7,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3645,"VP","PT",171,NA,0,NA,43.3227,NA,35.0928,NA,6.9712,NA,0,NA,3947265,NA,3947265,NA,0,NA,91113,NA,91113,NA,0,NA,0,NA,0,NA,0,NA,0,NA,635166,NA,22289755,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3645,"MB","PT",181,NA,0,NA,12.0253,NA,4.2977,NA,16.7515,NA,7368718,NA,8135768,NA,7048139,NA,1087629,NA,704031,NA,586110,NA,117921,NA,0,NA,0,NA,0,NA,0,NA,9818212,NA,42195890,NA,688,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3645,"MB","DO",1871,NA,0,NA,14.106,NA,6.9037,NA,27.1426,NA,73451236,NA,95543573,NA,73406127,NA,22137446,NA,6298604,NA,5203906,NA,1094698,NA,0,NA,0,NA,0,NA,0,NA,141247365,NA,975132912,NA,5616.3,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3645,"LR","PT",42,NA,20,NA,16.5551,NA,3.7971,NA,126.8125,NA,2121190,NA,2162411,NA,2106129,NA,56282,NA,128670,NA,127219,NA,1451,NA,1286306,NA,1247752,NA,74088,NA,73199,NA,16132963,NA,61258605,NA,34.08,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
