"Agency","City","State","Legacy NTD ID","NTD ID","Organization Type","Reporter Type","Primary UZA
 Population","Agency VOMS","Mode","TOS","Mode VOMS","Ratios:","Fare Revenues per Unlinked Passenger Trip","Fare Revenues per Unlinked Passenger Trip Questionable","Fare Revenues per Total Operating Expense (Recovery Ratio)","Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable","Cost per
 Hour","Cost per Hour Questionable","Passengers per Hour","Passengers per Hour Questionable","Cost per Passenger","Cost per Passenger Questionable","Cost per Passenger Mile","Cost per Passenger Mile Questionable","Source Data:","Fare Revenues Earned","Fare Revenues Earned Questionable","Total Operating Expenses","Total Operating Expenses Questionable","Unlinked Passenger Trips","Unlinked Passenger Trips Questionable","Vehicle Revenue Hours","Vehicle Revenue Hours Questionable","Passenger Miles","Passenger Miles Questionable","Vehicle Revenue Miles","Vehicle Revenue Miles Questionable","Any data questionable?","...40","...41","...42","1","...44","...45"
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10427,"HR","DO",5413,NA,1.4469,NA,0.3261,NA,276.8922,NA,62.4037,NA,4.4371,NA,1.0557,NA,NA,1609953703,NA,4936965252,NA,1112653405,NA,17829918,NA,4676670633,NA,324782077,NA,"No",NA,NA,NA,"Hide questionable data tags",NA,NA
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10427,"CB","DO",435,NA,6.7622,NA,0.1385,NA,400.386,NA,8.2003,NA,48.8255,NA,3.3589,NA,NA,30502878,NA,220242754,NA,4510813,NA,550076,NA,65570465,NA,8690192,NA,"No",NA,NA,NA,"Show questionable data tags",NA,NA
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10427,"MB","DO",3201,NA,0.8958,"W",0.1385,NA,228.1561,NA,35.2741,"W",6.4681,"W",2.936,"W",NA,361154071,NA,2607674237,NA,403160315,"W",11429343,NA,888168117,"W",80118986,NA,"Yes",NA,2,NA,"1",NA,2
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10427,"RB","DO",156,NA,0.8527,"W",0.1385,NA,219.0816,NA,35.5849,"W",6.1566,"W",3.4272,"W",NA,15048086,NA,108653094,NA,17648255,"W",495948,NA,31702817,"W",3151031,NA,"Yes",NA,NA,NA,NA,NA,NA
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10427,"DR","PT",1222,NA,0.7342,NA,0.0048,NA,170.6425,NA,1.1097,NA,153.7773,NA,17.6672,NA,NA,1837164,NA,384800386,NA,2502323,NA,2255009,NA,21780544,NA,24052883,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3646,"CR","DO",904,NA,6.4306,NA,0.3937,NA,653.6651,NA,40.0147,NA,16.3356,NA,0.7422,NA,NA,426541303,NA,1083549849,NA,66330426,NA,1657653,NA,1459936301,NA,54301350,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3646,"DR","PT",439,NA,1.8788,NA,0.0258,NA,114.3738,NA,1.568,NA,72.9444,NA,11.6216,NA,NA,2773067,NA,107664210,NA,1475977,NA,941336,NA,9264182,NA,14741231,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3646,"LR","PT",42,NA,0.9517,NA,0.1186,NA,839.9018,NA,104.7091,NA,8.0213,NA,2.1365,NA,NA,11379749,NA,95916781,NA,11957780,NA,114200,NA,44894834,NA,1893039,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3646,"MB","DO",1880,NA,2.6002,NA,0.3182,NA,184.3198,NA,22.553,NA,8.1727,NA,1.0933,NA,NA,289052489,NA,908522286,NA,111164944,NA,4929055,NA,831026106,NA,69544902,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3646,"MB","PT",182,NA,0.8227,NA,0.0975,NA,114.9046,NA,13.6184,NA,8.4374,NA,1.8629,NA,NA,6506778,NA,66733976,NA,7909259,NA,580777,NA,35822144,NA,7055377,NA,"No",NA,NA,NA,NA,NA,NA
