"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","modes","mode_names","facility_type","pre1940","_1940s","_1950s","_1960s","_1970s","_1980s","_1990s","_2000s","_2010s","_2020s","total_facilities"
"Rural Resources Community Action","Colville","WA","00286","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"8",,,,,,,,,,,,,,
"People for People Moses Lake","Yakima","WA","00287","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"26",,,,,,,,,,,,,,
"Hartland Senior Center","Howell","MI","55444","Private-Non-Profit Corporation","Reduced Asset Reporter","2022",,,,"0",,,,,,,,,,,,,,
"Gratoit County Commission on Aging","Ithaca","MI","55445","Private-Non-Profit Corporation","Reduced Asset Reporter","2022",,,,"0",,,,,,,,,,,,,,
"Goodwill Industries of Northern Wisconsin and Upper Michigan, Inc.","Marinette","WI","55446","Private-Non-Profit Corporation","Reduced Asset Reporter","2022",,,,"0",,,,,,,,,,,,,,
"Goodwill Industries (Muskegon County)","Muskegon","MI","55447","Private-Non-Profit Corporation","Reduced Asset Reporter","2022",,,,"0",,,,,,,,,,,,,,
"Georgetown Seniors, Inc","Jenison","MI","55448","Private-Non-Profit Corporation","Reduced Asset Reporter","2022",,,,"0",,,,,,,,,,,,,,
"Wyoming Department of Transportation","Cheyenne","WY","8R05",,"State Reporter","2022",,,,"0",,,,,,,,,,,,,,
"Utah Department of Transportation","Salt Lake City","UT","8R06",,"State Reporter","2022",,,,"0",,,,,,,,,,,,,,
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","DR","Demand Response","Administrative Office / Sales Office","1","0","0","0","0","0","0","0","0","0","1"
"Birmingham Regional Paratransit Consortium","Birmingham","AL","41118","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"6",,,,,,,,,,,,,,
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","DR","Demand Response","Maintenance Facility (Service and Inspection)","0","0","1","0","0","0","0","0","0","0","1"
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","DR","Demand Response","Other, Administrative & Maintenance (describe in Notes)","1","0","1","0","0","0","0","0","0","0","2"
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2029","FB","Ferryboat","Ferryboat Terminal","0","0","0","0","0","0","1","0","2","0","3"
